notation;title;description;id
1;"Domänespezifische kognitive Kompetenzen";;"c3"
1.1;"Mathematische Kompetenz";;"c5"
1.1.1;"Prozessbezogene allgemeine mathematische Kompetenzen";;"c14"
1.1.1.1;"Argumentieren";;"c16"
1.1.1.2;"Problemlösen";;"c17"
1.1.1.3;"Modellieren";;"c18"
1.1.1.4;"Darstellung";;"c19"
1.1.1.5;"Kommunizieren";;"c20"
1.1.2;"Inhaltsbezogene mathematische Kompetenzen";;"c15"
1.1.2.1;"Algorithmus &amp; Zahl";;"c21"
1.1.2.2;"Messen";;"c22"
1.1.2.3;"Raum und Form";;"c23"
1.1.2.4;"Funktionaler Zusammenhang";;"c24"
1.1.2.5;"Daten und Zufall";;"c25"
1.1.3;"Mathematische Basiskompetenzen";;"c27"
1.2;"Naturwissenschaftliche Kompetenz";;"c6"
1.2.1;"Biologische Kompetenz";;"c28"
1.2.1.1;"Fachwissen";;"c29"
1.2.1.1.1;"Basiskonzept System";;"c30"
1.2.1.1.2;"Basiskonzept Struktur und Funktion";;"c31"
1.2.1.1.3;"Basiskonzept Entwicklung";;"c32"
1.2.2;"Chemie-Kompetenz";;"c37"
1.2.2.1;"Fachwissen";;"c38"
1.2.2.1.1;"Basiskonzept chemische Phänomene";;"c39"
1.2.2.1.2;"Basiskonzept Verständnis grundlegender Begriffe, Gesetzmäßigkeiten und Prinzipien";;"c40"
1.2.2.1.3;"Basiskonzept Verständnis grundlegender chemischer Modelle";;"c41"
1.2.3;"Physik-Kompetenz";;"c46"
1.2.3.1;"Fachwissen";;"c47"
1.2.3.1.1;"Basiskonzept Materie";;"c48"
1.2.3.1.2;"Basiskonzept Wechselwirkung";;"c49"
1.2.3.1.3;"Basiskonzept System";;"c50"
1.2.3.1.4;"Basiskonzept Energie";;"c51"
1.2.4;"Handlungsdimension";;"c52"
1.2.4.1;"Erkenntnisgewinnung";;"c53"
1.2.4.2;"Kommunikation";;"c55"
1.2.4.3;"Bewertung";;"c56"
1.3;"Sprachliche Kompetenz";;"c7"
1.3.1;"Deutsch";;"c57"
1.3.1.1;"Rezeptiv";;"c58"
1.3.1.1.1;"Lesen";;"c60"
1.3.1.1.2;"Hörverstehen";;"c61"
1.3.1.1.3;"Phonologische Bewusstheit";;"c64"
1.3.1.1.4;"Wortschatz (Lexik)";;"c66"
1.3.1.1.5;"Grammatik (Morphologie &amp; Syntax)";;"c68"
1.3.1.1.6;"Auseinandersetzen mit Texten und Medien";;"c70"
1.3.1.2;"Produktiv";;"c59"
1.3.1.2.1;"Sprechen";;"c62"
1.3.1.2.2;"Schreiben";;"c63"
1.3.1.2.2.1;"Orthographie (Rechtschreibung)";;"c65"
1.3.1.2.3;"Wortschatz (Lexik)";;"c67"
1.3.1.2.4;"Grammatik (Morphologie &amp; Syntax)";;"c69"
1.3.2;"Fremdsprachenkompetenz";;"c71"
1.3.2.1;"Sprachkompetenz Englisch";;"c72"
1.3.2.1.1;"Interkulturelle kommunikative Kompetenz";;"c73"
1.3.2.1.2;"Funktionale kommunikative Kompetenz";;"c74"
1.3.2.1.2.1;"Hör-/ Hörsehverstehen";;"c75"
1.3.2.1.2.2;"Leseverstehen";;"c76"
1.3.2.1.2.3;"Schreiben";;"c77"
1.3.2.1.2.4;"Sprechen";;"c78"
1.3.2.1.2.5;"Sprachmittlung";;"c79"
1.3.2.1.2.6;"Verfügen über sprachliche Mittel und kommunikative Strategien (Wortschatz, Grammatik, Aussprache &amp; Orthographie)";;"c80"
1.3.2.1.3;"Sprachbewusstheit";;"c81"
1.3.2.1.4;"Text- und Medienkompetenz";;"c82"
1.3.2.2;"Sprachkompetenz Französisch";;"c83"
1.3.2.2.1;"Interkulturelle kommunikative Kompetenz";;"c84"
1.3.2.2.2;"Funktionale kommunikative Kompetenz";;"c85"
1.3.2.2.2.1;"Hör-/ Hörsehverstehen";;"c88"
1.3.2.2.2.2;"Leseverstehen";;"c89"
1.3.2.2.2.3;"Schreiben";;"c90"
1.3.2.2.2.4;"Sprechen";;"c91"
1.3.2.2.2.5;"Sprachmittlung";;"c92"
1.3.2.2.2.6;"Verfügen über sprachliche Mittel und kommunikative Strategien";;"c93"
1.3.2.2.3;"Sprachbewusstheit";;"c86"
1.3.2.2.4;"Text- und Medienkompetenz";;"c87"
1.3.2.3;"Sonstige Fremdsprachenkompetenz";;"c94"
1.4;"Sozialwissenschaftliche Kompetenz";;"c10"
1.4.1;"Geschichtskompetenz";;"c95"
1.4.2;"Geographie-Kompetenz";;"c96"
1.4.3;"Sozialkunde-Kompetenz";;"c97"
1.4.4;"Politik-Kompetenz";;"c98"
1.5;"Musikalische Kompetenz";;"c114"
1.5.1;"Melodie";;"c115"
1.5.2;"Rhythmus";;"c116"
1.5.3;"Musik";;"c117"
1.5.4;"Gesang";;"c118"
1.5.5;"Metrum";;"c119"
1.6;"Computer- und informationsbezogene Kompetenz";;"c120"
1.6.1;"Sammeln und Verarbeiten von Informationen";;"c126"
1.6.1.1;"Wissen über Computernutzung";;"c128"
1.6.1.2;"Informationen finden und bewerten";;"c129"
1.6.1.3;"Verarbeitung von Information, Informationsmanagement";;"c130"
1.6.2;"Produzieren und Austauschen von Informationen";;"c127"
1.6.2.1;"Transformation von Informationen";;"c131"
1.6.2.2;"Erzeugen von Informationen";;"c132"
1.6.2.3;"Austausch und Kommunikation von Informationen";;"c133"
1.6.2.4;"Kompetenzen für einen verantwortungsvollen und reflektierten Umgang mit ICT";;"c134"
2;"Domäneübergreifende kognitive Grundkompetenzen";;"c4"
2.1;"Intelligenz, kognitives Fähigkeitspotential";;"c11"
2.2;"Aufmerksamkeit &amp; Konzentrationsfähigkeit";;"c103"
2.3;"Gedächtnis";;"c104"
2.4;"Kreativität";;"c105"
2.5;"Wahrnehmungs- und Informationsverarbeitungsgeschwindigkeit";;"c111"
3;"Metakompetenz";;"c12"
3.1;"prozedurale Metakognition";;"c106"
3.1.1;"Selbstregulative Fähigkeiten";;"c109"
3.1.2;"Sprachenlernkompetenz";;"c110"
3.2;"deklarative Metakognition";;"c107"
4;"Sonstiges";;"c13"
5;"Handlungskompetenz";;"c99"
5.1;"Fachkompetenz";;"c100"
5.1.1;"diagnostische Kompetenz (Lehrkraft)";;"c112"
5.2;"Sozialkompetenz";;"c101"
5.3;"Humankompetenz";;"c102"
