notation;title;description;id
1;"Individueller und institutioneller Hintergrund";;"c1"
1.1;"Soziodemografischer Hintergrund";;"c2"
1.1.1;"Migrationshintergrund";;"c3"
1.1.2;"Kulturelles Kapital";;"c4"
1.1.3;"Individuelle Merkmale";;"c5"
1.1.4;"Familiärer Hintergrund";;"c6"
1.2;"Personale Merkmale";;"c7"
1.2.1;"Selbstbezogene Einstellungen";;"c8"
1.2.2;"Lern- und leistungsbezogene Einstellungen";;"c9"
1.2.3;"Schulbezogene Einstellungen und Verhaltensweisen";;"c10"
1.2.4;"Politische und soziale Einstellungen";;"c11"
1.2.5;"Persönlichkeit";;"c86"
1.3;"Beruflicher Hintergrund";;"c12"
1.3.1;"Berufliche Situation";;"c13"
1.3.2;"Professionelles Selbstverständnis";;"c14"
1.3.3;"Fachlich-pädagogisches Wissen";;"c15"
1.3.4;"Berufserfahrung";;"c16"
1.3.5;"Ausbildung";;"c17"
1.4;"Institutionelle Hintergrundmerkmale";;"c18"
1.4.1;"Ausstattung der Schule";;"c19"
1.4.2;"Standort der Schule";;"c20"
1.4.3;"Organisation des Schulbetriebs";;"c21"
1.4.4;"Organisation des Lehrbetriebs";;"c22"
1.4.5;"Organisation des Ganztagsbetriebs";;"c23"
1.4.6;"Schulische ICT Nutzung";;"c24"
1.4.7;"Lerngelegenheiten";;"c25"
1.4.8;"Zusammensetzung der Schülerschaft";;"c26"
1.4.9;"Zusammensetzung des Kollegiums";;"c27"
1.5;"Bildungsbiografie";;"c28"
1.6;"Freizeitverhalten und Mediennutzung";;"c29"
1.6.1;"Private ICT-Nutzung";;"c30"
1.6.2;"TV-Konsum";;"c31"
1.6.3;"Lese- und Schreibgewohnheiten";;"c32"
1.6.4;"Freizeitaktivitäten und Peergruppe";;"c33"
1.7;"Häusliche Lernumwelt";;"c34"
1.7.1;"Häusliche Lernunterstützung";;"c35"
1.7.2;"Nachhilfeunterricht";;"c36"
1.7.3;"Elterliches Erziehungshandeln";;"c37"
1.7.4;"Elterliche Bildungsaspiration";;"c38"
1.7.5;"Elterliches Fachwissen und Weltbilder";;"c39"
2;"Prozesse auf Schulebene";;"c40"
2.1;"Schulleitungshandeln";;"c41"
2.2;"Kollegialität";;"c42"
2.3;"Qualitätsentwicklung und Evaluation";;"c43"
2.3.1;"Programmatische Entwicklungsarbeit";;"c44"
2.3.2;"Evaluation und Leistungsmessung";;"c45"
2.3.3;"Maßnahmen der Qualitätsentwicklung";;"c46"
2.4;"Elternarbeit";;"c47"
2.5;"Schulklima";;"c48"
2.5.1;"Wahrnehmung der Schule als Lebensort";;"c49"
2.5.2;"Wahrnehmung der Schule als Lernort";;"c50"
2.5.3;"Soziales Klima";;"c51"
2.5.4;"Deviantes Verhalten";;"c52"
2.5.5;"Partizipatives Schulklima";;"c53"
2.6;"Kooperation";;"c54"
2.6.1;"Schulinterne Kooperation";;"c55"
2.6.2;"Schulexterne Kooperation";;"c56"
3;"Lehr-Lernarrangements";;"c57"
3.1;"Unterrichtsgestaltung/Unterrichtspraxis";;"c58"
3.1.1;"Einsatz und Variation verschiedener Unterrichtsmethoden";;"c59"
3.1.2;"Klarheit und Strukturiertheit";;"c60"
3.1.3;"Kognitive Aktivierung";;"c61"
3.1.4;"Umgang mit Hausaufgaben";;"c62"
3.1.5;"Unterrichtsvorbereitung und Unterrichtsinhalte";;"c63"
3.2;"Klassenführung";;"c64"
3.2.1;"Fachliche Unterstützung/individuelle Förderung";;"c65"
3.2.2;"Effektive Zeitnutzung/Disziplin im Unterricht";;"c66"
3.2.3;"Leistungsbeurteilung/Diagnostische Kompetenz";;"c67"
3.2.4;"Schülerorientierung/Soziale Unterstützung";;"c68"
3.2.5;"Bezugsnormorientierung";;"c69"
3.3;"Qualität von Ganztagsangeboten";;"c70"
3.4;"Angebotsklima";;"c71"
3.5;"Lernatmosphäre im Unterricht und Klassenverband";;"c72"
3.5.1;"Lernklima";;"c73"
3.5.2;"Klassenklima";;"c74"
3.5.3;"Zusammensetzung der Schülerschaft";;"c85"
4;"Schulische Wirkungen";;"c75"
4.1;"Kognitive Lernergebnisse";;"c76"
4.2;"Metakognitive Lernergebnisse";;"c77"
4.3;"Nichtkognitive Lernergebnisse";;"c78"
4.3.1;"Selbstbezogene Einstellungen (Lernergebnis)";;"c79"
4.3.2;"Lern- und leistungsbezogene Einstellungen (Lernergebnis)";;"c80"
4.3.3;"Politische und soziale Einstellungen (Lernergebnis)";;"c81"
4.3.4;"Schulbezogene Einstellungen und Verhaltensweisen (Lernergebnis)";;"c82"
5;"Sonstiges";;"c83"
5.1;"Sonstiges";;"c84"
