"notation","title","description","id","title_en","description_en"
1,"Individueller und institutioneller Hintergrund",,"c1","Individual and Institutional Background",
1.1,"Soziodemografischer Hintergrund",,"c2","Socio-demographic Background",
1.1.1,"Migrationshintergrund",,"c3","Migration Background",
1.1.2,"Kulturelles Kapital",,"c4","Cultural Capital",
1.1.3,"Individuelle Merkmale",,"c5","Individual Characteristics",
1.1.4,"Familiärer Hintergrund",,"c6","Family Background",
1.2,"Personale Merkmale",,"c7","Personal Characteristics",
1.2.1,"Selbstbezogene Einstellungen",,"c8","Self-Related Attitudes",
1.2.2,"Lern- und leistungsbezogene Einstellungen",,"c9","Learning and Performance-related Attitudes",
1.2.3,"Schulbezogene Einstellungen und Verhaltensweisen",,"c10","School-related Attitudes and Behaviors",
1.2.4,"Politische und soziale Einstellungen",,"c11","Political and Social Attitudes",
1.2.5,"Persönlichkeit",,"c86","Personality",
1.3,"Beruflicher Hintergrund",,"c12","Professional Background",
1.3.1,"Berufliche Situation",,"c13","Occupational Situation",
1.3.2,"Professionelles Selbstverständnis",,"c14","Professional Self Concept",
1.3.3,"Fachlich-pädagogisches Wissen",,"c15","Pedagogical Content Knowledge",
1.3.4,"Berufserfahrung",,"c16","Professional Experience",
1.3.5,"Ausbildung",,"c17","Professional Education",
1.4,"Institutionelle Hintergrundmerkmale",,"c18","Institutional Characteristics",
1.4.1,"Ausstattung der Schule",,"c19","Educational Resources",
1.4.2,"Standort der Schule",,"c20","School Location",
1.4.3,"Organisation des Schulbetriebs",,"c21","Organization of School Operations",
1.4.4,"Organisation des Lehrbetriebs",,"c22","Organization of Teaching Operations",
1.4.5,"Organisation des Ganztagsbetriebs",,"c23","Organization of all-day Operation",
1.4.6,"Schulische ICT Nutzung",,"c24","School ICT Usage",
1.4.7,"Lerngelegenheiten",,"c25","Learning Opportunities",
1.4.8,"Zusammensetzung der Schülerschaft",,"c26","Composition of the Student Body",
1.4.9,"Zusammensetzung des Kollegiums",,"c27","Composition of the Faculty",
1.5,"Bildungsbiografie",,"c28","Educational Biography",
1.6,"Freizeitverhalten und Mediennutzung",,"c29","Leisure Time Behavior and Media Use",
1.6.1,"Private ICT-Nutzung",,"c30","Private ICT Usage",
1.6.2,"TV-Konsum",,"c31","TV Consumption",
1.6.3,"Lese- und Schreibgewohnheiten",,"c32","Reading and Writing Habits",
1.6.4,"Freizeitaktivitäten und Peergruppe",,"c33","Leisure Activities and Peer Group",
1.7,"Häusliche Lernumwelt",,"c34","Home Learning Environment",
1.7.1,"Häusliche Lernunterstützung",,"c35","Home Learning Support",
1.7.2,"Nachhilfeunterricht",,"c36","Tutoring",
1.7.3,"Elterliches Erziehungshandeln",,"c37","Parental Educational Practices",
1.7.4,"Elterliche Bildungsaspiration",,"c38","Parental Educational Aspirations",
1.7.5,"Elterliches Fachwissen und Weltbilder",,"c39","Parental Knowledge and Beliefs",
2,"Prozesse auf Schulebene",,"c40","School Level Processes",
2.1,"Schulleitungshandeln",,"c41","School Leadership Practices",
2.2,"Kollegialität",,"c42","Collegiality",
2.3,"Qualitätsentwicklung und Evaluation",,"c43","Quality Development and Evaluation",
2.3.1,"Programmatische Entwicklungsarbeit",,"c44","Programmatic Development Work",
2.3.2,"Evaluation und Leistungsmessung",,"c45","Evaluation and Achievement Measurement",
2.3.3,"Maßnahmen der Qualitätsentwicklung",,"c46","Measures of Quality Development",
2.4,"Elternarbeit",,"c47","Parental Involvement",
2.5,"Schulklima",,"c48","School Atmosphere",
2.5.1,"Wahrnehmung der Schule als Lebensort",,"c49","Perception of School as a Living Environment",
2.5.2,"Wahrnehmung der Schule als Lernort",,"c50","Perception of the School as a Place of Learning",
2.5.3,"Soziales Klima",,"c51","Social Climate",
2.5.4,"Deviantes Verhalten",,"c52","Deviant Behavior",
2.5.5,"Partizipatives Schulklima",,"c53","Participative School Climate",
2.6,"Kooperation",,"c54","Cooperation",
2.6.1,"Schulinterne Kooperation",,"c55","Intra-school Cooperation",
2.6.2,"Schulexterne Kooperation",,"c56","Cooperation Outside the School",
3,"Lehr-Lernarrangements",,"c57","Teaching-Learning Arrangements",
3.1,"Unterrichtsgestaltung/Unterrichtspraxis",,"c58","Lesson Design/ Teaching Practice",
3.1.1,"Einsatz und Variation verschiedener Unterrichtsmethoden",,"c59","Use and Variation of Different Teaching Methods",
3.1.2,"Klarheit und Strukturiertheit",,"c60","Clarity and Structuredness",
3.1.3,"Kognitive Aktivierung",,"c61","Cognitive Activation",
3.1.4,"Umgang mit Hausaufgaben",,"c62","Handling Homework",
3.1.5,"Unterrichtsvorbereitung und Unterrichtsinhalte",,"c63","Lesson Preparation and Lesson Content",
3.2,"Klassenführung",,"c64","Class Management",
3.2.1,"Fachliche Unterstützung/individuelle Förderung",,"c65","Professional Support/ Individual Support",
3.2.2,"Effektive Zeitnutzung/Disziplin im Unterricht",,"c66","Effective Use of Time/ Discipline in the Classroom",
3.2.3,"Leistungsbeurteilung/Diagnostische Kompetenz",,"c67","Performance Assessment/ Diagnostic Competence",
3.2.4,"Schülerorientierung/Soziale Unterstützung",,"c68","Student Orientation/ Social Support",
3.2.5,"Bezugsnormorientierung",,"c69","Reference Norm Orientation",
